index,attempts,error_distances
0,0,-0.027083333333333334
1,1,-0.012037037037037037
2,2,-0.07708333333333334
3,3,-0.07783564814814814
4,4,-0.06533564814814816
5,5,-0.005787037037037037
6,6,0.023148148148148147
7,7,-0.05839120370370371
8,8,-0.012037037037037037
9,9,-0.14467592592592593
10,10,0.05208333333333333
11,11,-0.1083912037037037
12,12,-0.008391203703703703
13,13,0.041666666666666664
14,14,0.03356481481481481
15,15,0.008333333333333333
16,16,0.033854166666666664
17,17,-0.01875
18,18,0.061342592592592594
19,19,-0.008333333333333333
20,20,-0.033854166666666664
21,21,0.05978009259259259
22,22,-0.045891203703703705
23,23,0.03148148148148148
24,24,-0.03356481481481481
25,25,-0.12228009259259259
26,26,-0.005787037037037037
27,27,-0.058854166666666666
28,28,0.061342592592592594
29,29,-0.02644675925925926
30,30,0.009259259259259259
31,31,-0.009259259259259259
32,32,0.05925925925925926
33,33,-0.022453703703703705
34,34,0.053703703703703705
35,35,0.05700231481481482
36,36,0.035416666666666666
37,37,0.005613425925925926
38,38,-0.019675925925925927
39,39,-0.016898148148148148
40,40,-0.27453193759994965
41,41,-0.20877478573496633
42,42,-0.04910502005762765
43,43,0.026218509914432805
44,44,-0.011863840141228859
45,45,-0.008507454486298117
46,46,0.348444189131181
47,47,-0.055185170539230805
48,48,0.005171567556898888
49,49,-0.14702402628137917
50,50,-0.0506947563695366
51,51,-0.04621596388709617
52,52,0.06770191264467057
53,53,-0.2016896800439077
54,54,0.2027710781667498
55,55,-0.12440146031286203
56,56,-0.03378071082130893
57,57,0.025041122619836004
58,58,-0.1797515846831196
59,59,0.040479679657143226
60,60,-0.3859203920848819
61,61,-0.49203251485357213
62,62,-0.05615231149269549
63,63,-0.29759325192492514
64,64,-0.2796271441892838
65,65,-0.045902892423498716
66,66,-0.07810459530296567
67,67,-0.4459849611413211
68,68,-0.4661198434022459
69,69,-0.23430618367695225
70,70,-0.49132733775432835
71,71,-0.1838089071557364
72,72,0.0026229726366043776
73,73,-0.1562378083170989
74,74,-0.9283695629179004
75,75,0.09513898509139643
76,76,-0.8266939862276641
77,77,-0.39234423536040874
78,78,-0.7963097515136103
79,79,-0.08131963605399403
80,80,8.63755787037037
81,81,0.3847800925925926
82,82,0.03802083333333333
83,83,-0.27366898148148144
84,84,0.010416666666666666
85,85,0.041666666666666664
86,86,-0.07228009259259259
87,87,0.02644675925925926
88,88,0.06394675925925926
89,89,0.019675925925925927
90,90,-0.08333333333333333
91,91,0.016666666666666666
92,92,0.03333333333333333
93,93,-0.05839120370370371
94,94,-0.016898148148148148
95,95,-0.025520833333333333
96,96,-0.05978009259259259
97,97,-0.053703703703703705
98,98,-0.0421875
99,99,0.06759259259259259
100,100,-0.20856481481481481
101,101,-0.023148148148148147
102,102,0.019502314814814816
103,103,-0.1083912037037037
104,104,-0.045891203703703705
105,105,0.0030092592592592593
106,106,-0.07708333333333334
107,107,0.07708333333333334
108,108,0.050520833333333334
109,109,-0.2613425925925926
110,110,-0.016898148148148148
111,111,0.027083333333333334
112,112,-0.033854166666666664
113,113,0.01875
114,114,-0.041666666666666664
115,115,0.041666666666666664
116,116,-0.0708912037037037
117,117,-0.004224537037037037
118,118,0.033854166666666664
119,119,-0.02523148148148148
120,120,-12.671207059848111
121,121,-0.4262238022639682
122,122,-0.28678009768789237
123,123,-0.1289634794665942
124,124,-0.09922379666498915
125,125,-0.16173492378389467
126,126,0.11754570252486142
127,127,-0.35528869936080204
128,128,1.291842527316695
129,129,1.5244861438262558
130,130,-0.295962911499296
131,131,-0.002824268484235953
132,132,-0.05879252770801589
133,133,0.11738068515918887
134,134,-0.08986651485972084
135,135,0.02617998424500913
136,136,-0.03007146245396778
137,137,-0.18216559880026306
138,138,-0.3492827576172668
139,139,-0.256570634603309
140,140,-0.01387816589429538
141,141,-0.13496270659862683
142,142,-0.028065329896020286
143,143,-0.06572169533148954
144,144,-0.11931983484236466
145,145,0.04108428155523233
146,146,-0.02889528451959553
147,147,0.13010253283711803
148,148,-3.0520092181040056e-05
149,149,-0.0376254779024131
150,150,-0.45159335558017266
151,151,-0.002824268484235953
152,152,-0.32136467394257584
153,153,0.015076457643534283
154,154,-0.9420338072668168
155,155,-0.3193810768931634
156,156,-0.17026536386338528
157,157,0.3520712939246719
158,158,-0.014633571832470011
159,159,0.48783562459313945
160,160,16.477475373586266
161,161,0.17990650485971738
162,162,0.1720932749032983
163,163,-5.153287373851899
164,164,1.1511422419968347
165,165,-0.6414311701352027
166,166,-0.6689344993691473
167,167,0.30103221423383836
168,168,3.516719105595889
169,169,2.3230287584506426
170,170,3.6935420283989675
171,171,4.97299622894703
172,172,9.51885129679276
173,173,0.05835076570527341
174,174,0.20103834648502966
175,175,-0.1427931837896824
176,176,1.5137056180451642
177,177,-0.3198174232118632
178,178,0.23130800340865032
179,179,22.745638304931298
180,180,-15.989565157720753
181,181,9.454324379657853
182,182,0.21224012099610443
183,183,-3.4323596649093115
184,184,-0.35568158902913666
185,185,1.5772711819962981
186,186,-0.08102047837753844
187,187,0.05375780861230922
188,188,-0.06459178980653915
189,189,8.398465898828672
190,190,-2.7691230077712548
191,191,2.897778538573024
192,192,21.824755788379907
193,193,-9.855838943175957
194,194,1.0500094494660421
195,195,2.004429260206551
196,196,8.04883680488931
197,197,0.8503738219010175
198,198,0.18053009118017949
199,199,3.648306933560248
